"State","Bill Number","Name","Summary","Bill Progress","Last Action","Action Date"
"MD","HB15","Police Discipline - Order to Show Cause","Authorizing a police officer who is denied a certain right to apply to the circuit court at a certain time for an order that directs the law enforcement agency to show cause why the right should not be granted.","In Committee","House Judiciary Hearing (13:00:00 2/27/2024 )","02/27/2024"
"MD","HB16","Tax Sales - Homeowner Protection Program - Funding","Requiring each collector of property taxes to include with each property tax bill a separate insert that describes the Homeowner Protection Program and encourages taxpayers to make a voluntary donation to the Program through a website maintained by the State Department of Assessments and Taxation; prohibiting the collector from delivering a certificate of sale to the purchaser of a property at a tax sale until the purchaser has paid a $15 fee to the collector for each certificate issued by the collector; etc.","Crossed Over","Referred Budget and Taxation","02/23/2024"
"MD","HB17","Charter Counties - Comprehensive Plans - Affirmatively Furthering Fair Housing","Altering requirements for the housing element of a charter county's comprehensive plan to include requirements related to affirmatively furthering fair housing; requiring the housing element of a comprehensive plan that is enacted or amended on or after January 1, 2025 to include an assessment of fair housing to ensure that the county is affirmatively furthering fair housing; etc.","Crossed Over","Referred Education, Energy, and the Environment","02/23/2024"
"MD","HB18","Education - Reporting Arrests of Students - Alterations","AN ACT concerning Education - Reporting Arrests of Students - Alterations FOR the purpose of requiring a law enforcement agency making an arrest of a student for a reportable offense or an offense related to the student’s membership in a criminal organization to report the arrest to the Maryland Center for School Safety, the State Board of Education, and the State’s Attorney; requiring the State’s Attorney to notify the Maryland Center for School Safety and the State Board of the disposition of the offense; authorizing the Maryland Center for School Safety and the State Board to transmit certain information regarding the arrest to a certain county superintendent of schools or a certain nonpublic school in a certain manner under certain circumstances; requiring a county superintendent to provide a certain notice to the Maryland Center for School Safety and the State Board under certain circumstances; and generally relating to reporting arrests of students attending public and nonpublic schools in the State. BY repealing and reenacting, with amendments, Article - Education Section 7-303 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB20","Real Property Assessments – Revaluation of Property on Transfer After Appeal","AN ACT concerning Real Property Assessments - Revaluation of Property on Transfer After Appeal FOR the purpose of requiring that real property be revalued during a certain assessment cycle if, within a certain period of time after the assessment of a property is reduced due to an appeal, the property transfers for consideration that exceeds the value of the property before the reduction of the assessment; and generally relating to real property assessments. BY repealing and reenacting, with amendments, Article - Tax - Property Section 8-104(c)(1) and (3) Annotated Code of Maryland (2019 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 1/17/2024 )","01/17/2024"
"MD","HB21","Criminal Procedure - Warrantless Arrest - Straw Purchase Participant","AN ACT concerning Criminal Procedure - Warrantless Arrest - Straw Purchase Participant FOR the purpose of adding the crime of knowingly being a participant in a straw purchase of a regulated firearm to the list of crimes subject to warrantless arrest; and generally relating to warrantless arrest. BY repealing and reenacting, with amendments, Article - Criminal Procedure Section 2-203 Annotated Code of Maryland (2018 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - Public Safety Section 5-141 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 1/23/2024 )","01/23/2024"
"MD","HB22","Agriculture - Pollinator Habitat Plan - Requirements for State Highway Administration","AN ACT concerning Agriculture - Pollinator Habitat Plan - Requirements for State Highway Administration FOR the purpose of requiring a certain pollinator habitat plan established by the State Highway Administration under certain provisions of law to include certain policies and procedures regarding the use of pollinator habitat areas along State highways; requiring the Administration to track and evaluate federal programs that provide funding for pollinator habitats, native plants, and invasive species control and to apply for certain federal funding under certain circumstances; requiring the Administration to update the pollinator habitat plan on or before a certain date and annually thereafter; and generally relating to pollinator habitats. BY repealing and reenacting, with amendments, Article - Agriculture Section 2-1801 Annotated Code of Maryland (2016 Replacement Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (14:30:00 2/7/2024 )","02/07/2024"
"MD","HB23","Maryland Health Benefit Exchange - Qualified Health Plans - Dental Coverage","Repealing a certain provision of law providing that a qualified health plan is not required under certain circumstances to provide essential benefits that duplicate the minimum benefits of qualified dental plans; and repealing the authority of the Maryland Health Benefit Exchange to require children enrolling in a qualified health plan to have essential pediatric dental benefits required by the federal Secretary of Health and Human Services.","Crossed Over","Referred Finance","02/09/2024"
"MD","HB24","Environment - Impact of Environmental Permits and State Agency Actions","AN ACT concerning Environment - Impact of Environmental Permits and State Agency Actions FOR the purpose of requiring the Department of the Environment to conduct a certain evaluation regarding the impact of issuing an approval for certain environmental permits; requiring the Department to provide opportunities for certain communication with certain residents in a certain manner; requiring the Department to deposit certain money in certain funds under certain circumstances; altering certain reporting requirements for certain State agencies; and generally relating to the impact of actions on climate and environmental justice and equity. BY repealing and reenacting, without amendments, Article - Environment Section 1-601(a), 1-701(a)(1), (5), (7), and (8), 1-702(b), 2-107(a), and 7-218 Annotated Code of Maryland (2013 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Environment Section 1-702(a), 2-107(b), 2-1305, and 7-219 Annotated Code of Maryland (2013 Replacement Volume and 2023 Supplement) BY adding to Article - Environment Section 1-7A-01 through 1-7A-05 to be under the new subtitle “Subtitle 7A. Impact of Environmental Permits on Climate and Environmental Equity” Annotated Code of Maryland (2013 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, HOUSE BILL 24 Article - Environment Section 9-320(a) Annotated Code of Maryland (2014 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Environment Section 9-320(b) Annotated Code of Maryland (2014 Replacement Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (13:00:00 2/21/2024 )","02/21/2024"
"MD","HB25","Public Schools - Sexually Explicit Materials - Prohibited in Libraries and Media Centers","Prohibiting sexually explicit materials in elementary, middle, and secondary public school libraries and media centers; defining sexually explicit materials as books and auditory and visual material that contain graphic or obscene depictions of sexual activity that are not age appropriate or used as part of the approved instructional materials for instruction on family life and human sexuality; etc.","In Committee","Unfavorable Report by Ways and Means","02/19/2024"
"MD","HB26","Small, Minority, and Women-Owned Businesses Account - Alterations","Altering the type of financial assistance that may be provided by eligible fund managers who receive grants from the Small, Minority, and Women-Owned Businesses Account in the Department of Commerce to allow grants of up to $10,000 in conjunction with a loan.","Crossed Over","Referred Finance","02/16/2024"
"MD","HB27","No–Knock Warrants","Repealing the authority for the issuance and execution of a no-knock search warrant; establishing that a warrant may not authorize an officer to enter a building, apartment, premises or place without first announcing the officer's purpose and authority; specifying that a warrant may be executed only between 8:00 a.m. and 7:00 p.m.; and requiring an officer executing a search warrant, prior to entering certain areas to be searched, to give reasonable notice to alert any occupants within the officer's authority and purpose.","In Committee","House Judiciary Hearing (13:00:00 2/27/2024 )","02/27/2024"
"MD","HB28","Passenger, Truck, and Multipurpose Vehicles - Annual Registration Fees (Pedestrian Fatality Prevention Act of 2024)","AN ACT concerning Passenger, Truck, and Multipurpose Vehicles - Annual Registration Fees (Pedestrian Fatality Prevention Act of 2024) FOR the purpose of increasing the annual registration fees for passenger, certain truck, and multipurpose vehicles based on certain vehicle weight classifications; and generally relating to annual registration fees for passenger, truck, and multipurpose vehicles. BY repealing and reenacting, with amendments, Article - Transportation Section 13-912, 13-917, and 13-937 Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB29","Real Property - Transfer to Heir - Exemption From Prepayment","Providing that certain requirements for the prepayment of certain real property taxes do not apply to an instrument of writing transferring real property from the estate of a decedent to an heir of the decedent.","In Committee","Withdrawn by Sponsor","02/12/2024"
"MD","HB30","Health Insurance – Conformity With Federal Law","Conforming provisions of State health insurance law with existing federal requirements, including updating effective dates for federal regulations, clarifying federal consumer protection regulations resulting from changes to the federal No Surprises Act, altering the material errors that trigger special enrollment periods, and authorizing the Maryland Health Benefits Exchange to adopt an expanded open enrollment period under certain circumstances.","Crossed Over","Referred Finance","02/09/2024"
"MD","HB31","Juvenile Law - Electronic Harassment and Bullying - Inquiry by Intake Officer","Requiring a Department of Juvenile Services intake officer to forward a complaint that alleges a violation involving the misuse of electronic communication or interactive computer service and a related case file to the State's Attorney under certain circumstances.","In Committee","Withdrawn by Sponsor","03/04/2024"
"MD","HB32","Income Tax - Caregiver Tax Credit","AN ACT concerning Income Tax - Caregiver Tax Credit FOR the purpose of allowing certain caregivers a credit against the State income tax for certain qualified expenses paid or incurred during a taxable year to provide care or support to certain qualified family members; and generally relating to an income tax credit for caregivers. BY adding to Article - Tax - General Section 10-758 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB33","Economic Development - Entrepreneurial Leave Tax Credit Program","AN ACT concerning Economic Development - Entrepreneurial Leave Tax Credit Program FOR the purpose of establishing the Entrepreneurial Leave Tax Credit Program in the Department of Commerce to encourage employers to implement certain entrepreneurial leave policies and participate in the Program; allowing a credit against the State income tax for certain employers who permit certain employees to take a certain period of entrepreneurial leave; and generally relating to the Entrepreneurial Leave Tax Credit Program. BY repealing and reenacting, without amendments, Article - Economic Development Section 1-101(a), (c), and (e) Annotated Code of Maryland (2018 Replacement Volume and 2023 Supplement) BY adding to Article - Economic Development Section 6-1101 through 6-1109 to be under the new subtitle “Subtitle 11. Entrepreneurial Leave Tax Credit Program” Annotated Code of Maryland (2018 Replacement Volume and 2023 Supplement) BY adding to Article - Tax - General Section 10-758 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB34","Interstate Social Work Licensure Compact","Entering into the Social Work Licensure Compact for the purpose of authorizing regulated social workers who hold interstate compact licenses to practice social work in member states; establishing requirements for multistate licensure; establishing the Social Work Licensure Compact Commission; and providing for withdrawal from the Compact.","Crossed Over","Referred Finance","02/26/2024"
"MD","HB35","Property Tax - Submission of Building Permits to Supervisor of Assessments - Estimated Construction Cost","Requiring local permit offices to include a construction cost estimate when submitting a copy of a building permit to the supervisor of assessments of the county where the building is located.","Crossed Over","House Ways and Means Hearing (13:00:00 2/20/2024 )","02/20/2024"
"MD","HB36","Insurance - Protections After Loss or Damage to Property","AN ACT concerning Insurance - Protections After Loss or Damage to Property FOR the purpose of prohibiting a public adjuster, or anyone acting on behalf of a public adjuster, from soliciting or attempting to solicit a client within a certain period of time after a loss or damage as covered by an insurance contract or between certain hours; altering the statements that are required to be included in a public adjuster contract; altering the services with respect to which it is a fraudulent insurance act for a contractor to take certain actions; and generally relating to insurance and protections after loss or damage to property. BY repealing and reenacting, without amendments, Article - Insurance Section 10-411(a) Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Insurance Section 10-411(h), 10-414, and 27-407.2 Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement)","In Committee","House Economic Matters Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB37","Reentry Services for Women - Commission and Pilot Program - Establishment","Establishing the Commission on Reentry Services for Women overseen by the Department of Public Safety and Correctional Services to create a comprehensive reentry plan for formerly incarcerated women; requiring the Commission to study the challenges faced by formerly incarcerated women, gather data from counties, identify service gaps, and report its findings to the Governor and General Assembly by June 30, 2025; establishing the Reentry Pilot Program for Formerly Incarcerated Women to connect formerly incarcerated women to supportive services; etc.","In Committee","House Judiciary Hearing (13:00:00 3/7/2024 )","03/07/2024"
"MD","HB38","Baltimore City - Off-Street Parking Requirements Near Mass Transit Stations","Prohibiting the Mayor and City Council of Baltimore City from adopting or enforcing a local law that requires the creation of new off-street parking for a residential development that is located within a 0.25-mile radius of a present or planned MARC, Baltimore MTA Light Rail, or Red Line station.","In Committee","House Environment and Transportation Hearing (13:00:00 3/7/2024 )","03/07/2024"
"MD","HB39","Residential Service Agencies - Reimbursement - Personal Assistance Services (Homecare Worker Rights Act of 2024)","Authorizing the Maryland Department of Health to reimburse a residential service agency for personal assistance services only if the personal assistance services are provided by an individual classified as an employee.","Crossed Over","Referred Finance","02/21/2024"
"MD","HB40","Election Law - Postelection Tabulation Audits - Risk-Limiting Audits","Requiring the State Board of Elections, in collaboration with the local boards of elections, to conduct a risk-limiting audit after each statewide election; authorizing the State Board, in collaboration with the local boards, to conduct a risk-limiting audit after a special general election; authorizing, rather than requiring, the State Board, in collaboration with the local boards, to conduct an automated software audit after a statewide election; etc.","Crossed Over","Referred Education, Energy, and the Environment","02/23/2024"
"MD","HB41","Crimes – Firearms – Penalties and Procedures (Violent Firearms Offender Act of 2024)","Establishing, altering, and clarifying penalties for and elements of certain firearm-related crimes; prohibiting a District Court commissioner from authorizing the pretrial release of a certain defendant charged with a certain firearm-related crime under certain circumstances; etc.","In Committee","Withdrawn by Sponsor","03/04/2024"
"MD","HB42","Public Health - Public Health Services and Protections - Revisions","Repealing the exceptions that allow the sale, distribution, or purchase of tobacco products, tobacco paraphernalia, and electronic smoking devices to or for certain individuals who are active duty members of the military; authorizing the Maryland Department of Health to reallocate from one county to another county certain projected unspent grant funding relating to cancer to address certain funding needs; altering the duties of the State Council on Child Abuse and Neglect; etc.","Crossed Over","Referred Finance","02/16/2024"
"MD","HB43","Motor Vehicle Registration - Exceptions for Golf Carts - Authorization","Authorizing counties and municipalities to designate certain highways in their respective jurisdictions on which a person may operate a golf cart; authorizing a person to operate a golf cart only on a highway with a maximum posted speed limit of not more than 30 miles per hour, between dawn and dusk, only if the golf cart is equipped with certain lighting devices, and only if the number of occupants does not exceed the number of seats; and repealing certain authorizations to operate golf carts on highways in certain local areas of the State.","Crossed Over","Referred Judicial Proceedings","02/26/2024"
"MD","HB44","Renters' Property Tax Relief and Homeowners' Property Tax Credit Programs - Gross Income and Assessed Value Limitations - Alterations","AN ACT concerning Renters’ Property Tax Relief and Homeowners’ Property Tax Credit Programs - Gross Income and Assessed Value Limitations - Alterations FOR the purpose of altering the definition of “gross income” to exclude certain public assistance for purposes of the renters’ property tax relief program and the homeowners’ property tax credit program; increasing certain combined gross income limits used to determine eligibility for the tax credits; increasing the maximum assessed value of a dwelling on which the homeowners’ property tax credit is calculated; and generally relating to property tax credits for renters and homeowners. BY repealing and reenacting, without amendments, Article - Tax - Property Section 9-102(a)(1), (b), and (h)(1) and 9-104(a)(1) and (3), (f), and (g)(1) Annotated Code of Maryland (2019 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Tax - Property Section 9-102(a)(6) and (9) and 9-104(a)(8) and (14) and (j)(1) Annotated Code of Maryland (2019 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB45","Natural Resources - Sale, Barter, or Exchange of Mounted Specimens From Decedent's Estate","Authorizing the sale, barter, or exchange of a legally acquired mounted specimen of a game bird, excluding a migratory game bird, or game mammal, from a decedent's estate and the specimen is part of the personal property being liquidated or distributed.","Crossed Over","Referred Education, Energy, and the Environment","02/16/2024"
"MD","HB46","Transportation Investment Program - County Referendum - Authorization","Authorizing the General Assembly to authorize a county referendum on a transportation investment program; requiring a transportation investment program submitted to referendum to include a list of projects that each have a cost of at least $20,000,000 and would be located in or serve a particular county; requiring that the transportation investment program be submitted to the qualified voters of the appropriate county for their adoption or rejection; etc.","In Committee","Withdrawn by Sponsor","02/12/2024"
"MD","HB47","Education - Interscholastic and Intramural Junior Varsity and Varsity Teams - Designation Based on Sex (Fairness In Girls' Sports Act)","Requiring certain interscholastic and intramural junior varsity and varsity athletic teams or sports sponsored by certain schools to be expressly designated based on biological sex; prohibiting certain entities from taking certain adverse actions against a school for maintaining separate interscholastic and intramural junior varsity and varsity athletic teams and sports for students of the female sex; and providing that certain individuals have the right to bring a civil action under certain circumstances.","In Committee","Unfavorable Report by Ways and Means","02/12/2024"
"MD","HB48","Courts - Justices and Judges - Selection and Retention","Decreasing the term of office for the judges of the circuit courts; increasing the number of years between successive retention elections for judges of the Appellate Court of Maryland and justices of the Supreme Court of Maryland; providing for a transitional period during which the terms of certain amendments are to become effective; and providing that the amendment to the Maryland Constitution proposed by the Act be submitted to the qualified voters of the State at the next general election in November 2024.","In Committee","House Judiciary Hearing (13:00:00 2/14/2024 )","02/14/2024"
"MD","HB49","Vehicle Laws - Unauthorized Registration Plates - Prohibition","AN ACT concerning Vehicle Laws - Unauthorized Registration Plates - Prohibition FOR the purpose of prohibiting the knowing display, use, possession, or purchase of unauthorized registration plates for a vehicle; and generally relating to unauthorized registration plates. BY repealing and reenacting, with amendments, Article - Transportation Section 13-703(g) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","House Environment and Transportation Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","HB50","Commission on History, Culture, and Civics in Education","AN ACT concerning Commission on History, Culture, and Civics in Education FOR the purpose of establishing the Commission on History, Culture, and Civics in Education to make recommendations to the State Board of Education and the State Department of Education to further the discovery, interpretation, and learning of the history, culture, and civics of the United States and Maryland; and generally relating to the Commission on History, Culture, and Civics in Education. BY adding to Article - Education Section 7-135 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Ways and Means Hearing (13:00:00 1/17/2024 )","01/17/2024"
"MD","HB51","Maryland Pediatric Cancer Fund - Modifications","Altering the use of the Maryland Pediatric Cancer Fund to require that the Fund be used only for pediatric cancer research instead of only for pediatric cancer research, prevention, and treatment.","In Committee","House Health and Government Operations Hearing (14:30:00 2/7/2024 )","02/07/2024"
"MD","HB52","State Employees - Parental Bereavement Leave","Providing that certain State employees are entitled to use up to 10 days of parental bereavement leave with pay within 60 days after the death of the employee's child; providing that certain state employees are entitled to use up to 60 days of parental bereavement leave within 60 days after the employee experiences a stillbirth or the death of the employee's infant; and prohibiting certain State entities from requiring  State employees entitled to parental bereavement leave under the Act to use any other paid leave available to the employee.","Crossed Over","Referred Finance","02/16/2024"
"MD","HB53","Task Force to Study E-Commerce Monopolies in the State (E-Commerce Antimonopoly Study of 2024)","Establishing the Task Force to Study E-Commerce Monopolies in the State to investigate the business practices and industry impacts of e-commerce businesses that individually have annual revenue exceeding $10,000,000,000, have a presence in the State, and are engaged in selling on their own online platforms first- and third-party products; requiring the Task Force to report its findings and recommendations to the General Assembly by December 1, 2024; etc.","Crossed Over","Referred Finance","02/21/2024"
"MD","HB56","Worcester County - Motor Home and Recreational Trailer Shows - Out-of-State Dealers","Authorizing out-of-state motor home or recreational trailer dealers that are licensed by the licensing authority of another state to display motor homes and recreational vehicles at vehicle shows in Worcester County.","In Committee","House Environment and Transportation Hearing (13:00:00 2/29/2024 )","02/29/2024"
"MD","HB57","Prescription Drug Monitoring Program – Dispensers – Veterinarians","AN ACT concerning Prescription Drug Monitoring Program - Dispensers - Veterinarians FOR the purpose of altering the definition of “dispenser” for purposes of the Prescription Drug Monitoring Program to include certain licensed veterinarians when dispensing controlled substances in the usual course of providing professional services; providing that the Program is not required to disclose prescription drug monitoring data to veterinarians; and generally relating to the Prescription Drug Monitoring Program and veterinarians. BY repealing and reenacting, with amendments, Article - Health - General Section 21-2A-01 and 21-2A-06(b)(2) Annotated Code of Maryland (2023 Replacement Volume) BY repealing and reenacting, without amendments, Article - Health - General Section 21-2A-06(a) and (b)(1) Annotated Code of Maryland (2023 Replacement Volume)","In Committee","House Health and Government Operations Hearing (13:00:00 1/31/2024 )","01/31/2024"
"MD","HB58","Baltimore County - Speed Monitoring Systems - Residential Districts","Establishing that certain provisions of law authorizing the use of speed monitoring systems in certain residential districts apply in Baltimore County; requiring all speed limit signs within certain segments of certain highways in Baltimore County to include certain signs; and making placement and use of a speed monitoring system under the Act contingent on a determination by the Baltimore County Police Department that the speed monitoring system is necessary and on the approval of the Baltimore County Council.","In Committee","House Environment and Transportation Hearing (13:00:00 3/7/2024 )","03/07/2024"
"MD","HB59","Crimes of Violence - Motor Vehicle Theft","AN ACT concerning Crimes of Violence - Motor Vehicle Theft FOR the purpose of designating motor vehicle theft as a certain crime of violence; and generally relating to crimes of violence. BY repealing and reenacting, with amendments, Article - Criminal Law Section 14-101(a) Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - Public Safety Section 5-101(a) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Public Safety Section 5-101(c) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","House Judiciary Hearing (13:00:00 2/6/2024 )","02/06/2024"
"MD","HB60","Rehabilitation Services - Disability - Definition","Altering the definition of ""disability"" relating to the provision of rehabilitation services in the State to align with the federal Rehabilitation Act of 1973; and defining ""disability"" as any physical or mental impairment that constitutes or results in a substantial impediment to employment or independent living.","Crossed Over","Referred Education, Energy, and the Environment","02/26/2024"
"MD","HB61","Correctional Services - Formerly Incarcerated Individuals and Individuals on Probation - Re-Entry Services","Establishing a program within the Division of Correction that provides formerly incarcerated individuals and individuals on probation with certain services; requiring the facility that administers the program to be located in Prince George's County; and requiring the Governor to include in the annual budget bill for fiscal year 2026 and each fiscal year thereafter an appropriation of $3,000,000 for the program.","In Committee","House Judiciary Hearing (13:00:00 3/7/2024 )","03/07/2024"
