title,publication_date,domain,topic,topic_summary,x,y,url
Musk charges on with new targets in sight and Trumpâs blessing,2025-02-10,cnn.com,0,uncategorized,10.490372,-8.983433,https://www.cnn.com/2025/02/10/politics/musk-trump-new-government-targets-analysis/index.html
DOGE goes deeper at the IRS,2025-02-18,politico.com,0,uncategorized,-5.2315664,-15.641304,https://www.politico.com/newsletters/weekly-tax/2025/02/18/doge-goes-deeper-at-the-irs-00204627
How Musk and Trump are flooding the zone,2025-02-11,theguardian.com,0,uncategorized,20.897936,-19.120333,https://www.theguardian.com/technology/2025/feb/11/musk-trump-doge-ice-google-seo-spotify
DOGE for Ohio? Vivek Ramaswamy enters governor's race pushing cuts and merit pay,2025-02-23,cnbc.com,0,uncategorized,1.8735746,15.578042,https://www.cnbc.com/2025/02/23/doge-for-ohio-vivek-ramaswamy-enters-governors-race-pushing-cuts-and-merit-pay.html
âIndiscriminate madnessâ: DOGE claims firings targeted toward low performers and new employees. The reality is far from it.,2025-02-20,cnn.com,0,uncategorized,-23.950125,2.1060874,https://www.cnn.com/2025/02/20/politics/doge-firing-low-performers-new-employees-reality
Trump directs DOGE to shrink federal workforce: Read full executive order,2025-02-11,newsweek.com,0,uncategorized,-17.020262,4.4884686,https://www.newsweek.com/trump-executive-order-federal-workforce-reduction-elon-musk-doge-2029739
Fired federal workers upset with performance language amid DOGE purge,2025-02-17,usatoday.com,0,uncategorized,-24.313175,1.7289118,https://www.usatoday.com/story/news/politics/2025/02/17/fired-federal-workers-performance-language-doge/78886104007/
A look at Musk team's firings and government overhaul so far,2025-02-19,latimes.com,0,uncategorized,-20.944025,2.1219547,https://www.latimes.com/politics/story/2025-02-19/trump-administration-doge-firings
"Ex-federal workers say Trump, DOGE firings upended their lives",2025-02-16,usatoday.com,0,uncategorized,-23.808657,1.2468098,https://www.usatoday.com/story/news/politics/2025/02/16/federal-workers-trump-musk-firings/78728081007/
"$1,300 coffee cups, 8,000% overpay for soap dispensers show waste as DOGE locks in on Pentagon",2025-02-11,foxnews.com,0,uncategorized,-8.2476015,19.910898,https://www.foxnews.com/politics/1300-coffee-cups-8000-overpay-soap-dispensers-show-waste-doge-locks-pentagon-elon-musk
"Between Russia and Elon Musk, German Voters Face a ‘Dual Front’ of Disinformation",2025-02-13,nytimes.com,0,uncategorized,14.472332,-17.46744,https://www.nytimes.com/2025/02/13/world/europe/russia-germany-elon-musk-disinformation.html
Musk shows why heâs such a powerful ally for Trump and would be an even more menacing enemy,2025-02-12,cnn.com,0,uncategorized,9.731412,-9.255234,https://www.cnn.com/2025/02/12/politics/musk-trump-oval-office-analysis/index.html
Elon Musk Is Focused on DOGE. What About Tesla?,2025-02-20,nytimes.com,0,uncategorized,16.840212,-25.377577,https://www.nytimes.com/2025/02/20/business/elon-musk-tesla-trump.html
"From immigration to DOGE, Stephen Miller is more powerful in the White House than ever",2025-02-10,cnn.com,0,uncategorized,9.5411,-8.033565,https://www.cnn.com/2025/02/10/politics/stephen-miller-white-house/index.html
"Anti-Trump, Musk protests erupt across US amid federal layoffs",2025-02-17,usatoday.com,0,uncategorized,0.8571031,-18.720827,https://www.usatoday.com/story/news/nation/2025/02/17/anti-trump-musk-protests-us/78962739007/
What DOGE is really up to: A Silicon Valley take,2025-02-13,politico.com,0,uncategorized,2.3035989,-3.3392525,https://www.politico.com/newsletters/digital-future-daily/2025/02/13/doge-washington-silicon-valley-politics-rohit-krishnan-musk-00204140
GOP flinches at Musk cuts,2025-02-18,politico.com,0,uncategorized,-3.1721027,-16.58516,https://www.politico.com/newsletters/inside-congress/2025/02/18/gop-flinches-at-musk-cuts-00204633
Inside the GOPâs careful pushback to Muskâs DOGE effort,2025-02-11,cnn.com,0,uncategorized,-2.4241374,-12.764259,https://www.cnn.com/2025/02/11/politics/congress-republicans-doge/index.html
"Trump, Musk DOGE cuts risk 9/11 responders' health",2025-02-18,usatoday.com,0,uncategorized,-28.952578,1.3648217,https://www.usatoday.com/story/news/politics/2025/02/18/trump-musk-doge-911-responders-terrorist-attacks/79095473007/
Musk-linked group offered $5m for proof of voter fraud – and came up with nothing,2025-02-14,theguardian.com,0,uncategorized,23.500023,-3.3258648,https://www.theguardian.com/us-news/2025/feb/14/elon-musk-voter-fraud-group
Musk and the Right Co-Opt the Left’s Critique of U.S. Power,2025-02-19,nytimes.com,0,uncategorized,12.637096,-15.020959,https://www.nytimes.com/2025/02/19/us/politics/elon-musk-republicans-international-development.html
The almighty Musk: How the worldâs richest man became Washingtonâs most powerful bureaucrat,2025-02-14,cnn.com,1,Elon Musk's Influence in Government,0.70156515,-2.903461,https://www.cnn.com/2025/02/14/politics/elon-musk-most-powerful-bureaucrat-washington/index.html
Who’s who inside Elon Musk’s army of DOGE cost cutters stripping fed waste away,2025-02-17,nypost.com,0,uncategorized,-7.5537567,0.8661927,https://nypost.com/2025/02/17/us-news/elon-musks-army-of-doge-cost-cutters-stripping-fed-waste/
Column: Democrats belatedly wake up to start battling Trump and Musk,2025-02-17,latimes.com,0,uncategorized,10.1494665,-4.126774,https://www.latimes.com/world-nation/story/2025-02-17/democrats-congress-trump-musk-democracy-battle
Joe Rogan’s Infatuation With Elon Musk Is Angering His Fans,2025-02-19,politico.com,0,uncategorized,14.036682,-7.308342,https://www.politico.com/news/magazine/2025/02/19/joe-rogan-elon-musk-fans-00204380?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication
"Trump Administration Lawsuits Tracker: DOGE, Transgender Rights and More",2025-02-12,nytimes.com,0,uncategorized,-19.341423,-6.2914577,https://www.nytimes.com/interactive/2025/us/trump-administration-lawsuits.html
Elon Musk and the Right Are Recasting Reporting as ‘Doxxing’,2025-02-12,nytimes.com,0,uncategorized,12.3502035,-13.713216,https://www.nytimes.com/2025/02/12/business/media/elon-musk-doxxing-marko-elez.html
Do Elon Musk and His Father Get Along?,2025-02-21,nytimes.com,0,uncategorized,28.848236,-9.322696,https://www.nytimes.com/2025/02/21/style/elon-musk-father-errol-comments.html
South Africa does have a history of racist land inequality. Just not in the way Trump and Musk are portraying,2025-02-11,cnn.com,0,uncategorized,11.134579,-5.8421454,https://www.cnn.com/2025/02/11/africa/south-africa-land-aid-freeze-trump-intl/index.html
Musk touts DOGE transparency but downplays his own potential conflicts of interest,2025-02-11,cnn.com,1,Elon Musk's Influence in Government,8.98869,-9.548348,https://www.cnn.com/2025/02/11/politics/musk-trump-conflicts-of-interest/index.html
He served four tours in Iraq and Afghanistan. DOGE just fired him,2025-02-20,newsweek.com,0,uncategorized,-24.060026,0.5571874,https://www.newsweek.com/he-served-four-tours-iraq-afghanistan-doge-just-laid-him-off-2033503
"Dolly Parton's Sister Issues Scathing Rebuke of Trump, Musk and Republicans",2025-02-22,newsweek.com,0,uncategorized,3.6959414,-5.7327065,https://www.newsweek.com/dolly-partons-sister-issues-rebuke-trump-musk-republicans-2034901
"Judge won't block Musk and DOGE from accessing data, making cuts at 7 federal agencies",2025-02-18,cbsnews.com,1,Elon Musk's Influence in Government,-11.283151,-8.924461,https://www.cbsnews.com/sanfrancisco/news/judge-wont-block-musks-doge-from-accessing-data-making-cuts-at-7-federal-agencies/
"Trump, Musk float idea of $5,000 'DOGE dividend' checks. Here's what experts say",2025-02-27,cnbc.com,3,DOGE stimulus check debate,-5.2013655,30.628023,https://www.cnbc.com/2025/02/27/trump-musk-promote-idea-of-5000-doge-dividend-checks.html
When Trump and Musk Attack the Press,2025-02-11,nytimes.com,0,uncategorized,11.2093,-18.42725,https://www.nytimes.com/2025/02/11/opinion/trump-musk-press-media.html
"Thousands fired across federal workforce as Trump, Musk escalate purge",2025-02-14,usatoday.com,0,uncategorized,-19.266266,2.9360204,https://www.usatoday.com/story/news/politics/2025/02/14/trump-musk-purge-thousands-federal-workers-fired/78606349007/
Musk Team Announces Millions in Cuts to Education Dept. Amid Legal Pushback,2025-02-11,nytimes.com,0,uncategorized,-15.468496,10.050655,https://www.nytimes.com/2025/02/11/us/politics/musk-doge-education-data.html
Elon Musk: Democrats Use Taxpayer Funds to Encourage Illegal Migration,2025-02-18,breitbart.com,0,uncategorized,7.2175274,-1.8469688,https://www.breitbart.com/economy/2025/02/18/elon-musk-democrats-use-the-federal-budget-to-encourage-illegal-migration/
Elon Musk may be on the brink of achieving the impossible: Salvaging his $44 billon investment in X,2025-02-20,cnn.com,0,uncategorized,23.335014,-23.362411,https://www.cnn.com/2025/02/20/tech/elon-musk-x-valuation/index.html
"Social Security has never missed a payment. DOGE actions threaten 'interruption of benefits,' ex-agency head says",2025-03-01,cnbc.com,0,uncategorized,13.3597145,26.7159,https://www.cnbc.com/2025/03/01/doge-actions-may-cause-social-security-benefit-interruption-ex-agency-head.html
DOGE takes a chainsaw to federal spending with 7 major victories this week: 'Got to be done',2025-02-21,foxnews.com,0,uncategorized,-14.677975,18.019634,https://www.foxnews.com/politics/doge-takes-chainsaw-federal-spending-7-major-victories-week-got-done
"DOGE stimulus check: CNN host spars with plan's creator—""Ponzi scheme""",2025-02-22,newsweek.com,0,uncategorized,-3.3509567,29.387499,https://www.newsweek.com/doge-stimulus-check-cnn-host-spars-plan-creator-ponzi-scheme-2034829
"DOGE staffer, 25, poised to gain access to sensitive IRS taxpayer system as fraud emerges as new Musk focus",2025-02-17,nypost.com,0,uncategorized,7.2499833,18.868671,https://nypost.com/2025/02/17/us-news/doge-staffer-25-poised-to-gain-access-to-irs-taxpayer-system/
Is Elon Musk auditing Fort Knox's gold reserve? What we know,2025-02-17,newsweek.com,0,uncategorized,-26.92465,-20.42948,https://www.newsweek.com/elon-musk-auditing-fort-knox-2032128
What DOGE could gain by accessing your Social Security data,2025-02-19,cnn.com,0,uncategorized,11.954502,26.114988,https://www.cnn.com/2025/02/19/business/doge-social-security-personal-data/index.html
"As Musk team hammers away at the U.S. government, Republicans stir with quiet objections",2025-02-12,latimes.com,0,uncategorized,-2.6420755,-11.536097,https://www.latimes.com/world-nation/story/2025-02-12/as-doge-hammers-away-at-the-us-government-republicans-stir-with-quiet-objections
DOGE Proposes A.I. Bot as Replacement for Financial Aid Help,2025-02-13,nytimes.com,0,uncategorized,-15.104382,9.590632,https://www.nytimes.com/2025/02/13/us/doge-ai-education-department-students.html
"Elon Musk wants to take on the Pentagon, where budget issues run deep",2025-02-15,usatoday.com,0,uncategorized,-7.6387315,20.207697,https://www.usatoday.com/story/news/politics/2025/02/15/elon-musk-pentagon-budget-doge/78459343007/
Elon Musk vs Sam Altman: Who will win the AI war?,2025-02-15,newsweek.com,0,uncategorized,26.85227,-25.421375,https://www.newsweek.com/elon-musks-xai-vs-sam-altmans-openai-who-will-win-ai-war-2030565
"DOGE team's ""wall of receipts"" shows errors in tallying billions in savings",2025-02-19,cbsnews.com,0,uncategorized,-15.361789,22.2814,https://www.cbsnews.com/news/doge-wall-of-receipts-shows-errors-tallying-billions-in-savings/
Let’s not leave the baby-making debate to Musk and Vance – the left has a stake in this too,2025-02-21,theguardian.com,0,uncategorized,29.712013,-12.068395,https://www.theguardian.com/commentisfree/2025/feb/21/baby-making-debate-elon-musk-jd-vance-birthrate
Dem trolls MTG with ‘d–k pic’ at DOGE hearing — by unveiling photo of Elon Musk,2025-02-12,nypost.com,0,uncategorized,-2.555147,7.162728,https://nypost.com/2025/02/12/us-news/dem-brings-d-pic-image-of-smiling-elon-musks-face-to-mtgs-chaotic-doge-hearing/
Musk and Republican Lawmakers Pressure Judges with Impeachment Threats,2025-03-01,nytimes.com,0,uncategorized,-10.167677,-14.351725,https://www.nytimes.com/2025/03/01/us/politics/trump-musk-republicans-congress-judge-impeachment.html
How Musk Makes MAGA Weak by Trumping Trump—The Rasputin Syndrome,2025-02-11,newsweek.com,0,uncategorized,16.621988,-14.992848,https://www.newsweek.com/how-musk-makes-maga-weak-trumping-trump-rasputin-syndrome-opinion-2029339
"Elon Musk’s DOGE Seeks Access to Americans’ Data, Alarming Government Employees",2025-02-19,nytimes.com,0,uncategorized,8.485657,20.708397,https://www.nytimes.com/2025/02/19/us/politics/elon-musk-doge-personal-data.html
Elon Musk has a problem with X's Community Notes when he disapproves of the results,2025-02-21,cnbc.com,0,uncategorized,25.096153,-21.85427,https://www.cnbc.com/2025/02/21/elon-musk-has-problem-with-x-community-notes-after-ukraine-corrections.html
Vance and Musk Attack German Consensus on Nazis and Speech,2025-02-15,nytimes.com,0,uncategorized,14.143552,-17.594687,https://www.nytimes.com/2025/02/15/world/europe/vance-musk-nazis-afd-munich.html
"As DOGE continues federal budget cuts, Elon Musk turns focus to people over 100 receiving Social Security benefits",2025-02-19,cnbc.com,0,uncategorized,15.543736,24.94961,https://www.cnbc.com/2025/02/19/amid-doge-cuts-elon-musk-turns-focus-to-social-security-beneficiaries-over-100.html
"In the Musk revolution, lessons from the 20th century will be deleted",2025-02-12,theguardian.com,0,uncategorized,13.619899,-17.21489,https://www.theguardian.com/commentisfree/2025/feb/12/musk-revolution-lessons-20th-century-deleted-far-right-silicon-valley
"At Oval Office, Musk Makes Broad Claims of Federal Fraud Without Proof",2025-02-11,nytimes.com,0,uncategorized,9.971587,-10.951103,https://www.nytimes.com/2025/02/11/us/politics/trump-musk-oval-office.html
"Where Trump, Musk and DOGE Have Cut Federal Workers So Far",2025-02-11,nytimes.com,0,uncategorized,-20.946901,2.4825723,https://www.nytimes.com/interactive/2025/02/11/us/politics/trump-musk-doge-federal-workers.html
"21 DOGE staffers resign, saying they refuse to 'compromise core government systems'",2025-02-25,cnbc.com,0,uncategorized,-11.9898205,1.1128525,https://www.cnbc.com/2025/02/25/21-doge-staffers-resign-saying-they-refuse-to-compromise-core-government-systems.html
Doxing on rise after info leaks about judge in DOGE case: Privacy expert,2025-02-18,newsweek.com,0,uncategorized,-12.660756,-13.518871,https://www.newsweek.com/doxing-rise-after-info-leaks-about-judge-doge-case-privacy-expert-2032954
"Musk is not an employee of DOGE and ""has no actual or formal authority,"" White House says",2025-02-18,cbsnews.com,1,Elon Musk's Influence in Government,-7.443451,-3.5205112,https://www.cbsnews.com/losangeles/news/elon-musk-doge-not-employee-no-authority-white-house-says/
"DOGE Cuts 9/11 Survivors’ Fund, and Republicans Join Democrats in Rebuke",2025-02-19,nytimes.com,0,uncategorized,-28.940926,1.3618883,https://www.nytimes.com/2025/02/19/nyregion/doge-ground-zero-health-care-cuts.html
First Thing: Musk-led group bids $97.4bn for control of OpenAI,2025-02-11,theguardian.com,0,uncategorized,12.832935,-11.889817,https://www.theguardian.com/us-news/2025/feb/11/first-thing-musk-led-group-bids-974bn-for-control-of-openai-sam-altman
Musk-Linked Group Schedules WI Ad Blitz Ahead of Supreme Court Race,2025-02-19,breitbart.com,0,uncategorized,22.863194,-3.868696,https://www.breitbart.com/politics/2025/02/19/elon-musk-linked-group-schedules-tv-ad-blitz-in-wisconsin-ahead-of-supreme-court-race/
What DOGE could target this week,2025-02-17,newsweek.com,0,uncategorized,-10.214197,20.502855,https://www.newsweek.com/what-doge-target-next-elon-musk-spending-2032139
DOGE stimulus check creator defends plan against inflation fears,2025-02-20,newsweek.com,3,DOGE stimulus check debate,-4.3123984,30.47617,https://www.newsweek.com/doge-stimulus-check-creator-denies-inflation-fears-2033899
Trump and Musk have fun in DC while cuts pile up out in the country,2025-02-22,cnn.com,0,uncategorized,-21.75163,0.6395688,https://www.cnn.com/2025/02/22/politics/government-cuts-trump-musk-doge-what-matters/index.html
DOGE claim it saved $8 billion by canceling an $8 million contract raises questions about its âwall of receiptsâ,2025-02-19,cnn.com,0,uncategorized,-15.796966,23.157671,https://www.cnn.com/2025/02/19/politics/doge-canceled-contracts-8-billion-invs/index.html
Elon Musk handed win by judge he wanted impeached,2025-02-15,newsweek.com,0,uncategorized,-12.091687,-6.212259,https://www.newsweek.com/elon-musk-handed-win-judge-he-wanted-impeached-2031754
"""Unplug mad king"": Protesters rally against Elon Musk at Tesla facilities",2025-02-15,newsweek.com,0,uncategorized,5.9335036,-4.938514,https://www.newsweek.com/unplug-mad-king-protesters-rally-against-elon-musk-tesla-facilities-2031825
Judge Declines to Block Musk Team’s Foray Into Federal Agencies,2025-02-18,nytimes.com,0,uncategorized,-9.762263,-9.119965,https://www.nytimes.com/2025/02/18/us/politics/elon-musk-doge-lawsuit-agencies.html
The anti-Musk protest movement is expected to ramp up with Congress on recess,2025-02-17,latimes.com,0,uncategorized,2.0887663,-17.182556,https://www.latimes.com/politics/story/2025-02-17/the-anti-musk-protest-movement-is-expected-to-ramp-up-with-congress-on-recess
Full list of DOGE spending cuts as Trump marks one month into presidency,2025-02-21,newsweek.com,0,uncategorized,-14.501977,19.830841,https://www.newsweek.com/doge-spending-cuts-findings-one-month-trump-administration-2034150
DC house prices plunge amid DOGE turmoil,2025-02-21,newsweek.com,0,uncategorized,-26.093288,6.534226,https://www.newsweek.com/dc-house-prices-plunge-amid-doge-turmoil-2034222
Trump says he'll consider DOGE dividend checks. Economists say such payments are unlikely.,2025-02-20,cbsnews.com,3,DOGE stimulus check debate,-5.895479,30.751104,https://www.cbsnews.com/miami/news/musk-trump-doge-dividend-check-refund-taxpayers-economists/
DOGE stimulus check update: How Musk plan could compare to past payments,2025-02-20,newsweek.com,3,DOGE stimulus check debate,-5.0704584,29.45151,https://www.newsweek.com/doge-stimulus-check-update-musk-plan-compare-past-payments-2033571
John Fetterman calls out Elon Musk after recent support for Trump ally,2025-02-17,newsweek.com,0,uncategorized,6.048731,-3.590144,https://www.newsweek.com/john-fetterman-calls-out-elon-musk-doge-2032417
Elon Musk Leads $97.4 Billion Bid to Control OpenAI,2025-02-10,nytimes.com,2,Elon Musk's OpenAI Bid,24.521227,-27.679504,https://www.nytimes.com/2025/02/10/technology/elon-musk-openai-bid.html
"Fact check: Musk, Trump deceive about a Trump-era Pentagon contract for âsocial deceptionâ defense",2025-02-13,cnn.com,0,uncategorized,2.629962,-7.2851386,https://www.cnn.com/2025/02/13/politics/musk-trump-reuters-pentagon-defense-contract-fact-check/index.html
‘A particularly heinous villain’: a disdain for Musk has sparked protests across US,2025-02-16,theguardian.com,0,uncategorized,2.5702515,-17.404627,https://www.theguardian.com/us-news/2025/feb/16/elon-musk-protests-trump-50501
Elon Musk's DOGE gets polling boost,2025-02-11,newsweek.com,0,uncategorized,4.841131,-4.849132,https://www.newsweek.com/elon-musk-doge-polling-2029471
Elizabeth Warren has grave concerns about Elon Musk gutting her consumer watchdog,2025-02-13,cnn.com,0,uncategorized,11.391406,-8.029854,https://www.cnn.com/2025/02/13/economy/elon-musk-cfpb-elizabeth-warren-trump/index.html
"Robert Rubin, Lawrence Summers, Timothy Geithner, Jacob Lew, Janet Yellen: DOGE Is a Threat to U.S. Democracy",2025-02-10,nytimes.com,0,uncategorized,12.791093,7.0444384,https://www.nytimes.com/2025/02/10/opinion/treasure-secretaries-doge-musk.html
"Elon Musk's DOGE presence at the IRS raises concerns about taxpayer data security, refund delays",2025-02-17,cbsnews.com,0,uncategorized,4.930826,19.618086,https://www.cbsnews.com/news/musk-doge-trump-irs-taxpayer-data-idrs-wyden-warren-letter/
"Judge denies Democrat-led effort to block DOGE access, citing lack of proven harm",2025-02-18,foxnews.com,1,Elon Musk's Influence in Government,-14.39069,-7.7665014,https://www.foxnews.com/politics/judge-denies-democrat-led-effort-block-doge-access-citing-lack-proven-harm
"How popular is Elon Musk's DOGE? Very, according to focus group",2025-02-14,newsweek.com,1,Elon Musk's Influence in Government,4.799307,-3.2937057,https://www.newsweek.com/elon-musk-popularity-doge-focus-group-2031298
What legislators think about DOGE stimulus checks,2025-02-21,newsweek.com,0,uncategorized,-3.9092176,29.074177,https://www.newsweek.com/what-legislators-think-about-doge-stimulus-checks-2034587
"Musk Is Kicking Down the Barn, Not Building a Better Government",2025-02-19,newsweek.com,0,uncategorized,16.18636,-14.666294,https://www.newsweek.com/elon-musk-kicking-down-barn-not-building-better-government-opinion-2033341
"Elon Musk’s gutting of US agencies is illegal, experts say. How do you muzzle Doge?",2025-02-10,theguardian.com,0,uncategorized,-1.7155175,-2.6441,https://www.theguardian.com/us-news/2025/feb/10/elon-musk-doge-agency-illegal
"Who runs DOGE? Trump put Musk in charge, now he denies it",2025-02-20,usatoday.com,0,uncategorized,8.111527,-7.6089883,https://www.usatoday.com/story/opinion/columnist/2025/02/20/trump-musk-target-critics-telsa-conflict-interest/79085579007/
Elon Musk claims FEMA sent $59M last week to luxury NYC hotels for illegal migrants — but City Hall says there’s more to the story,2025-02-10,nypost.com,0,uncategorized,16.467844,13.712409,https://nypost.com/2025/02/10/us-news/fema-sent-59m-last-week-to-luxury-nyc-hotels-to-house-illegal-migrants-elon-musk-says/
"Trump, Musk have undone some layoffs. Who's going back to work?",2025-02-21,usatoday.com,0,uncategorized,-22.725855,2.1408803,https://www.usatoday.com/story/news/politics/2025/02/21/trump-rescinded-layoffs/79188799007/
Trump Argues That Courts Cannot Block Elon Musk’s DOGE Team From Treasury Systems,2025-02-10,nytimes.com,0,uncategorized,-9.674554,-9.661327,https://www.nytimes.com/2025/02/10/nyregion/trump-doge-treasury-elon-musk.html
Musk jokes as he implements the Republican plan to cut jobs,2025-02-12,usatoday.com,0,uncategorized,6.9509525,-9.827241,https://www.usatoday.com/story/opinion/columnist/2025/02/12/elon-musk-donald-trump-federal-workers-jobs-cruelty/78428472007/
Musk uses DOGE to gain IRS access and taxpayer data: Yours,2025-02-18,usatoday.com,0,uncategorized,7.5273595,16.85265,https://www.usatoday.com/story/opinion/columnist/2025/02/18/musk-irs-taxpayer-data-doge-access/78652319007/
Trump drops a bad penny as Musk saves taxpayers billions I Opinion,2025-02-11,usatoday.com,0,uncategorized,5.0556626,-9.45986,https://www.usatoday.com/story/opinion/columnists/2025/02/11/trump-musk-irs-pentagon-penny/78243290007/
Why Musk and Vance Went to Bat for a Self-Described Racist,2025-02-10,nytimes.com,0,uncategorized,11.270367,-15.939081,https://www.nytimes.com/2025/02/10/opinion/musk-vance-racist-education.html
What Musk won't admit: Gutting USAID may destroy our farmers,2025-02-13,usatoday.com,0,uncategorized,-24.268585,-4.4836907,https://www.usatoday.com/story/opinion/voices/2025/02/13/musk-gutting-usaid-american-farms-businesses/78382724007/
A National Debt Strike May Be the Way to Stop Trump and Musk,2025-02-10,newsweek.com,0,uncategorized,8.971197,-5.427988,https://www.newsweek.com/national-debt-strike-may-way-stop-trump-musk-opinion-2028148
Elon Musk says he can't be a Russian asset because Putin 'can't afford me',2025-02-20,newsweek.com,0,uncategorized,20.936232,-12.450553,https://www.newsweek.com/elon-musk-says-he-cant-russian-asset-because-putin-cant-afford-me-2034126
"Enjoying the Pinnacle of Power, Musk Holds Court on Trump’s Stage",2025-02-11,nytimes.com,0,uncategorized,10.628827,-11.093978,https://www.nytimes.com/2025/02/11/us/politics/trump-musk.html
